societe|client_fac|client_liv|num_expedition|num_cde|nom_fichier|date
|20467|20467|80268687||BL_20467_20467_80268687_20250709_164854.pdf|
|20467|20467|80270699||BL_20467_20467_80270699_20250725_121028.pdf|
|20467|20467|80270700||BL_20467_20467_80270700_20250725_121019.pdf|
|20467|20467|80271984||BL_20467_20467_80271984_20250804_161811.pdf|
|20467|20467|80274061||BL_20467_20467_80274061_20250909_162516.pdf|
|20467|20467|80274062||BL_20467_20467_80274062_20250909_162507.pdf|
|20467|20467|80274223||BL_20467_20467_80274223_20250909_164502.pdf|
|20467|20467|80274973||BL_20467_20467_80274973_20250915_171808.pdf|
|20467|20467|80275880||BL_20467_20467_80275880_20250923_160216.pdf|
|20467|20467|80280639||BL_20467_20467_80280639_20251021_163152.pdf|
|20467|20467|80281154||BL_20467_20467_80281154_20251021_151440.pdf|
|20468|20468|80269819||BL_20468_20468_80269819_20250721_154701.pdf|
|20468|20468|80270298||BL_20468_20468_80270298_20250723_162134.pdf|
|20468|20468|80275892||BL_20468_20468_80275892_20250923_161845.pdf|
|20468|20468|80278450||BL_20468_20468_80278450_20251008_154911.pdf|
|20468|20468|80281830||BL_20468_20468_80281830_20251028_165534.pdf|
|20472|20472|80269837||BL_20472_20472_80269837_20250721_153119.pdf|
|20472|20472|80276570||BL_20472_20472_80276570_20250925_164318.pdf|
|20472|20472|80283555||BL_20472_20472_80283555_20251113_154842.pdf|
|20473|20473|80269022||BL_20473_20473_80269022_20250711_153121.pdf|
|20473|20473|80271961||BL_20473_20473_80271961_20250801_150313.pdf|
|20473|20473|80273639||BL_20473_20473_80273639_20250905_160658.pdf|
|20473|20473|80275934||BL_20473_20473_80275934_20250923_160311.pdf|
|20473|20473|80276399||BL_20473_20473_80276399_20250924_172414.pdf|
|20473|20473|80276921||BL_20473_20473_80276921_20250929_164813.pdf|
|20473|20473|80278213||BL_20473_20473_80278213_20251007_154658.pdf|
|20473|20473|80279696||BL_20473_20473_80279696_20251016_174143.pdf|
|20473|20473|80280496||BL_20473_20473_80280496_20251020_163757.pdf|
|20473|20473|80281954||BL_20473_20473_80281954_20251029_164200.pdf|
|20473|20473|80282154||BL_20473_20473_80282154_20251030_164751.pdf|
|20473|20473|80283285||BL_20473_20473_80283285_20251107_143250.pdf|
|20473|20473|80283596||BL_20473_20473_80283596_20251113_155429.pdf|
|20474|20474|80274234||BL_20474_20474_80274234_20250909_163303.pdf|
|20477|20477|80269992||BL_20477_20477_80269992_20250722_170520.pdf|
|20477|20477|80270399||BL_20477_20477_80270399_20250723_162628.pdf|
|20477|20477|80276502||BL_20477_20477_80276502_20250925_163819.pdf|
|20477|20477|80276726||BL_20477_20477_80276726_20250926_150316.pdf|
|20477|20477|80277122||BL_20477_20477_80277122_20250929_165504.pdf|
|20477|20477|80282832||BL_20477_20477_80282832_20251105_160303.pdf|
|20481|20481|80281938||BL_20481_20481_80281938_20251029_160121.pdf|
|20483|20483|80276503||BL_20483_20483_80276503_20250925_173347.pdf|
|20483|20483|80277121||BL_20483_20483_80277121_20250929_165505.pdf|
|20483|20483|80282152||BL_20483_20483_80282152_20251030_171202.pdf|
|20483|20483|80282357||BL_20483_20483_80282357_20251031_144709.pdf|
|20483|20483|80282863||BL_20483_20483_80282863_20251105_160207.pdf|
